0
--------------------------------------------------------
The world settings      : 
Torus world             : No
Num Agents              : 100
Num Obstacles           : 10
Percent of free space   : 0
--------------------------------------------------------
The adaptive & perceptive settings: 
agent-coop     : yes
Adapt to obstacle       : yes
Attention distance      : 9
Attention angle         : 120
Attention resolution    : 9
Head tolerance          : 45
--------------------------------------------------------
The energy settings     : 
Energy maximum of agent : 200
Number of initial fruits: 4
Fruit sharing           : 5
Fruit's generating speed: 3
--------------------------------------------------------
Agents Behaviour Settings : 
Agents Initial behavior :selfish
Memory       : yes
--------------------------------------------------------
sim_num 	 time 	 rs 	 no 	 n_alive 	 n_kind 	 n_realist 	 n_selfish 	 vital-space 	 nf 	 Rep
S1	0	3	10	100	0	0	100	0.8908112264513649	5	0
S1	1000	3	10	12	0	0	12	0.8908112264513649	5	0
S1	2000	3	10	6	0	0	6	0.8908112264513649	5	0
S2	0	3	10	100	0	0	100	0.9008073817762399	5	0
S2	1000	3	10	11	0	0	11	0.9008073817762399	5	0
S2	2000	3	10	7	0	0	7	0.9008073817762399	5	0
S3	0	3	10	100	0	0	100	0.9023452518262207	5	0
S3	1000	3	10	11	0	0	11	0.9023452518262207	5	0
S3	2000	3	10	7	0	0	7	0.9023452518262207	5	0
S4	0	3	10	100	0	0	100	0.8927335640138409	5	0
S4	1000	3	10	5	0	0	5	0.8927335640138409	5	0
S4	2000	3	10	4	0	0	4	0.8927335640138409	5	0
S5	0	3	10	100	0	0	100	0.8865820838139177	5	0
S5	1000	3	10	11	0	0	11	0.8865820838139177	5	0
S5	2000	3	10	6	0	0	6	0.8865820838139177	5	0
S6	0	3	10	100	0	0	100	0.9023452518262207	5	0
S6	1000	3	10	11	0	0	11	0.9023452518262207	5	0
S6	2000	3	10	7	0	0	7	0.9023452518262207	5	0
S7	0	3	10	100	0	0	100	0.8985005767012687	5	0
S7	1000	3	10	12	0	0	12	0.8985005767012687	5	0
S7	2000	3	10	6	0	0	6	0.8985005767012687	5	0
S8	0	3	10	100	0	0	100	0.8861976163014226	5	0
S8	1000	3	10	9	0	0	9	0.8861976163014226	5	0
S8	2000	3	10	8	0	0	8	0.8861976163014226	5	0
S9	0	3	10	100	0	0	100	0.8946559015763168	5	0
S9	1000	3	10	7	0	0	7	0.8946559015763168	5	0
S9	2000	3	10	7	0	0	7	0.8946559015763168	5	0
S10	0	3	10	100	0	0	100	0.895040369088812	5	0
S10	1000	3	10	12	0	0	12	0.895040369088812	5	0
S10	2000	3	10	11	0	0	11	0.895040369088812	5	0
S11	0	3	10	100	0	0	100	0.8938869665513264	5	0
S11	1000	3	10	10	0	0	10	0.8938869665513264	5	0
S11	2000	3	10	6	0	0	6	0.8938869665513264	5	0
S12	0	3	10	100	0	0	100	0.89119569396386	5	0
S12	1000	3	10	7	0	0	7	0.89119569396386	5	0
S12	2000	3	10	6	0	0	6	0.89119569396386	5	0
S13	0	3	10	100	0	0	100	0.8938869665513264	5	0
S13	1000	3	10	7	0	0	7	0.8938869665513264	5	0
S13	2000	3	10	4	0	0	4	0.8938869665513264	5	0
S14	0	3	10	100	0	0	100	0.8915801614763552	5	0
S14	1000	3	10	9	0	0	9	0.8915801614763552	5	0
S14	2000	3	10	5	0	0	5	0.8915801614763552	5	0
S15	0	3	10	100	0	0	100	0.8869665513264129	5	0
S15	1000	3	10	10	0	0	10	0.8869665513264129	5	0
S15	2000	3	10	2	0	0	2	0.8869665513264129	5	0
S16	0	3	10	100	0	0	100	0.9023452518262207	5	0
S16	1000	3	10	13	0	0	13	0.9023452518262207	5	0
S16	2000	3	10	9	0	0	9	0.9023452518262207	5	0
S17	0	3	10	100	0	0	100	0.8942714340638216	5	0
S17	1000	3	10	12	0	0	12	0.8942714340638216	5	0
S17	2000	3	10	9	0	0	9	0.8942714340638216	5	0
S18	0	3	10	100	0	0	100	0.9011918492887351	5	0
S18	1000	3	10	10	0	0	10	0.9011918492887351	5	0
S18	2000	3	10	4	0	0	4	0.9011918492887351	5	0
S19	0	3	10	100	0	0	100	0.903114186851211	5	0
S19	1000	3	10	8	0	0	8	0.903114186851211	5	0
S19	2000	3	10	4	0	0	4	0.903114186851211	5	0
S20	0	3	10	100	0	0	100	0.8988850442137639	5	0
S20	1000	3	10	13	0	0	13	0.8988850442137639	5	0
S20	2000	3	10	9	0	0	9	0.8988850442137639	5	0
S21	0	3	10	100	0	0	100	0.8792772010765091	5	0
