0
--------------------------------------------------------
The world settings      : 
Torus world             : No
Num Agents              : 100
Num Obstacles           : 10
Percent of free space   : 0
--------------------------------------------------------
The adaptive & perceptive settings: 
agent-coop     : yes
Adapt to obstacle       : yes
Attention distance      : 9
Attention angle         : 120
Attention resolution    : 9
Head tolerance          : 45
--------------------------------------------------------
The energy settings     : 
Energy maximum of agent : 200
Number of initial fruits: 3
Fruit sharing           : 17
Fruit's generating speed: 4
--------------------------------------------------------
Agents Behaviour Settings : 
Agents Initial behavior :kind
Memory       : yes
--------------------------------------------------------
sim_num 	 time 	 rs 	 no 	 n_alive 	 n_kind 	 n_realist 	 n_selfish 	 vital-space 	 nf 	 Rep
S1	0	3	10	100	100	0	0	0.8815840061514802	5	0
S1	1000	3	10	11	11	0	0	0.8815840061514802	5	0
S1	2000	3	10	7	7	0	0	0.8815840061514802	5	0
S2	0	3	10	100	100	0	0	0.8938869665513264	5	0
S2	1000	3	10	12	12	0	0	0.8938869665513264	5	0
S2	2000	3	10	6	6	0	0	0.8938869665513264	5	0
S3	0	3	10	100	100	0	0	0.9019607843137255	5	0
S3	1000	3	10	11	11	0	0	0.9019607843137255	5	0
S3	2000	3	10	10	10	0	0	0.9019607843137255	5	0
S4	0	3	10	100	100	0	0	0.889273356401384	5	0
S4	1000	3	10	12	12	0	0	0.889273356401384	5	0
S4	2000	3	10	4	4	0	0	0.889273356401384	5	0
S5	0	3	10	100	100	0	0	0.8996539792387543	5	0
S5	1000	3	10	12	12	0	0	0.8996539792387543	5	0
S5	2000	3	10	9	9	0	0	0.8996539792387543	5	0
S6	0	3	10	100	100	0	0	0.9015763168012303	5	0
S6	1000	3	10	10	10	0	0	0.9015763168012303	5	0
S6	2000	3	10	9	9	0	0	0.9015763168012303	5	0
S7	0	3	10	100	100	0	0	0.8938869665513264	5	0
S7	1000	3	10	12	12	0	0	0.8938869665513264	5	0
S7	2000	3	10	8	8	0	0	0.8938869665513264	5	0
S8	0	3	10	100	100	0	0	0.9050365244136871	5	0
S8	1000	3	10	9	9	0	0	0.9050365244136871	5	0
S8	2000	3	10	5	5	0	0	0.9050365244136871	5	0
S9	0	3	10	100	100	0	0	0.8900422914263745	5	0
S9	1000	3	10	13	13	0	0	0.8900422914263745	5	0
S9	2000	3	10	7	7	0	0	0.8900422914263745	5	0
S10	0	3	10	100	100	0	0	0.8881199538638985	5	0
S10	1000	3	10	10	10	0	0	0.8881199538638985	5	0
S10	2000	3	10	7	7	0	0	0.8881199538638985	5	0
S11	0	3	10	100	100	0	0	0.8908112264513649	5	0
S11	1000	3	10	7	7	0	0	0.8908112264513649	5	0
S11	2000	3	10	4	4	0	0	0.8908112264513649	5	0
S12	0	3	10	100	100	0	0	0.9004229142637448	5	0
S12	1000	3	10	9	9	0	0	0.9004229142637448	5	0
S12	2000	3	10	7	7	0	0	0.9004229142637448	5	0
S13	0	3	10	100	100	0	0	0.8923490965013456	5	0
S13	1000	3	10	10	10	0	0	0.8923490965013456	5	0
S13	2000	3	10	6	6	0	0	0.8923490965013456	5	0
S14	0	3	10	100	100	0	0	0.8938869665513264	5	0
S14	1000	3	10	11	11	0	0	0.8938869665513264	5	0
S14	2000	3	10	9	9	0	0	0.8938869665513264	5	0
S15	0	3	10	100	100	0	0	0.8919646289888504	5	0
S15	1000	3	10	12	12	0	0	0.8919646289888504	5	0
S15	2000	3	10	8	8	0	0	0.8919646289888504	5	0
S16	0	3	10	100	100	0	0	0.8985005767012687	5	0
S16	1000	3	10	10	10	0	0	0.8985005767012687	5	0
