"","g_speed","nf","no","T.value","Mean Altruist","Mean Selfish","SD Altruist","SD Selfish"
"1",3,5,10,0.93961165031236,6.57,6.39,2.01629043931632,1.80949477942986
"2",3,5,20,1.81487183275732,5.02,4.695,1.83752072425328,1.74274519193716
"3",3,5,30,-0.412225566884735,3.475,3.54,1.61940959524943,1.5330201413448
"4",3,11,10,-1.22539887521596,14.75,15.105,2.87905274762692,2.91486831373772
"5",3,11,20,-0.0526200234428887,11.27,11.285,2.87199263727168,2.82909773069953
"6",3,11,30,0.485127020499161,9.28,9.16,2.44776587706928,2.49912547518197
"7",3,17,10,4.09148679146398,23.625,22.315,3.29677396752717,3.10385964947162
"8",3,17,20,1.98624609064252,18.84,18.13,3.60686113347616,3.54200919616658
"9",3,17,30,2.7779022595354,15.725,14.775,3.41285995395748,3.42681929086745
"10",4,5,10,2.49332384861161,16.515,15.93,2.38920835904167,2.30252210417208
"11",4,5,20,1.12852854434026,13.85,13.54,2.79401729832093,2.69904133362255
"12",4,5,30,0.806719395447245,12.02,11.815,2.6447254799547,2.43318246015832
"13",4,11,10,7.53895842072165,34.505,32.095,3.45247344150851,2.91865856845161
"14",4,11,20,6.90613956404775,30.5,27.82,4.14316656022041,3.59893898379025
"15",4,11,30,4.93678702353197,26.83,24.93,4.07604843620281,3.60695865706399
"16",4,17,10,13.260496197356,49.88,44.37,4.56836401228533,3.69613406617994
"17",4,17,20,13.422714308491,45.395,39.74,4.5033739445467,3.90108862528289
"18",4,17,30,11.4849650130845,40.84,35.835,4.69944934227437,3.98713698115987
"19",5,5,10,11.60442772399,37.495,34.13,2.9193471769727,2.88003001101058
"20",5,5,20,7.57353322364313,34.65,32.105,3.61842021110327,3.08081680091563
"21",5,5,30,7.53598133550974,32.015,29.415,3.56487258999737,3.33140605925761
"22",5,11,10,26.120406769849,69.495,59.605,3.92261514142526,3.64491454084321
"23",5,11,20,21.606363801505,66.125,56.505,4.90301671058968,3.95069804912713
"24",5,11,30,17.5455847359221,62.24,53.9,5.10024139738089,4.3790272203978
"25",5,17,10,22.9989077595805,84.79,75.66,3.84967531098403,4.08630510941562
"26",5,17,20,22.3234382489067,82.02,71.965,4.63866208401175,4.36566951930157
"27",5,17,30,17.5976337426982,77.365,68.215,5.43779579568577,4.94987690827107
